Date,Open,High,Low,Close,Adj Close,Volume
2023-08-18, 105.90 , 107.26 , 101.40 , 101.62 , 101.62 ," 4,115,100.00 "
2023-08-21, 101.99 , 112.32 , 101.82 , 111.08 , 111.08 ," 7,747,300.00 "
2023-08-22, 112.50 , 116.88 , 112.46 , 116.24 , 116.24 ," 7,101,600.00 "
2023-08-23, 117.34 , 117.68 , 111.85 , 115.46 , 115.46 ," 3,768,000.00 "
2023-08-24, 114.93 , 115.37 , 112.58 , 112.65 , 112.65 ," 2,719,200.00 "
2023-08-25, 113.65 , 114.70 , 109.81 , 111.93 , 111.93 ," 2,708,000.00 "
2023-08-28, 114.73 , 116.95 , 113.00 , 113.83 , 113.83 ," 2,698,800.00 "
2023-08-29, 113.75 , 116.44 , 113.72 , 115.99 , 115.99 ," 2,851,400.00 "
2023-08-30, 116.19 , 118.07 , 114.00 , 116.62 , 116.62 ," 3,328,500.00 "
2023-08-31, 116.44 , 116.60 , 112.86 , 113.07 , 113.07 ," 3,305,400.00 "
2023-09-01, 114.21 , 114.72 , 111.57 , 112.56 , 112.56 ," 2,229,100.00 "
2023-09-05, 112.72 , 112.78 , 108.99 , 109.36 , 109.36 ," 2,866,700.00 "
2023-09-06, 109.75 , 109.75 , 106.60 , 108.24 , 108.24 ," 2,924,800.00 "
2023-09-07, 107.61 , 110.12 , 106.70 , 108.35 , 108.35 ," 2,664,100.00 "
2023-09-08, 107.62 , 109.47 , 106.87 , 107.64 , 107.64 ," 2,160,000.00 "
2023-09-11, 106.80 , 107.25 , 104.50 , 105.80 , 105.80 ," 3,055,400.00 "
2023-09-12, 105.37 , 106.18 , 103.53 , 105.24 , 105.24 ," 2,734,300.00 "
2023-09-13, 113.80 , 114.88 , 107.24 , 108.59 , 108.59 ," 9,816,700.00 "
2023-09-14, 108.59 , 114.33 , 106.39 , 112.81 , 112.81 ," 5,512,600.00 "
2023-09-15, 112.99 , 115.25 , 111.90 , 114.59 , 114.59 ," 6,266,000.00 "
2023-09-18, 114.21 , 114.30 , 103.81 , 104.14 , 104.14 ," 7,528,900.00 "
2023-09-19, 102.31 , 107.79 , 101.85 , 106.74 , 106.74 ," 4,119,300.00 "
2023-09-20, 106.65 , 106.66 , 103.27 , 103.53 , 103.53 ," 2,869,100.00 "
2023-09-21, 101.78 , 103.59 , 100.07 , 100.23 , 100.23 ," 3,218,100.00 "
2023-09-22, 100.77 , 100.98 , 98.51 , 99.99 , 99.99 ," 2,277,200.00 "
2023-09-25, 99.52 , 99.80 , 97.11 , 98.17 , 98.17 ," 2,909,000.00 "
2023-09-26, 98.57 , 99.62 , 97.89 , 98.12 , 98.12 ," 2,888,400.00 "
2023-09-27, 98.76 , 100.33 , 97.90 , 99.44 , 99.44 ," 2,367,400.00 "
2023-09-28, 98.94 , 101.03 , 97.32 , 100.27 , 100.27 ," 2,034,500.00 "
2023-09-29, 100.97 , 104.74 , 100.97 , 103.29 , 103.29 ," 4,201,200.00 "
2023-10-02, 103.12 , 104.06 , 101.48 , 103.31 , 103.31 ," 2,413,400.00 "
2023-10-03, 101.93 , 103.68 , 100.92 , 103.08 , 103.08 ," 2,417,800.00 "
2023-10-04, 104.61 , 104.82 , 99.33 , 104.26 , 104.26 ," 3,296,600.00 "
